Source;Target;Weight;;;
Troy McClure;Bart Simpson;10;;;
Hans Moleman;Bart Simpson;11;;;
Groundskeeper Willie;Bart Simpson;49;;;
Snake Jailbird;Bart Simpson;25;;;
Ralph Wiggum;Bart Simpson;35;;;
Maggie Simpson;Lisa Simpson;100;;;
Dolph Starbeam;Lisa Simpson;28;;;
Jimbo Jones;Lisa Simpson;31;;;
Kearney Zzyzwicz;Lisa Simpson;26;;;
Reverennd Lovejoy;Lisa Simpson;26;;;
Apu Nahasapeemapetilon;Lisa Simpson;32;;;
Sideshow Bob;Lisa Simpson;15;;;
Jasper Beardly;Lisa Simpson;10;;;
Otto Mann;Lisa Simpson;19;;;
Chief Clancy Wiggum;Lisa Simpson;73;;;
Lionel Hutz;Lisa Simpson;11;;;
Patty Bouvier;Lisa Simpson;46;;;
Selma Bouvier;Lisa Simpson;68;;;
Montgomery Burns;Lisa Simpson;103;;;
Ned Flanders;Lisa Simpson;70;;;
Barney Gumble;Lisa Simpson;46;;;
Santa`s Helper;Lisa Simpson;35;;;
Principal Seymour Skinner;Lisa Simpson;84;;;
Waylon Smithers;Lisa Simpson;38;;;
Snowball;Lisa Simpson;15;;;
Moe Szyslak;Lisa Simpson;87;;;
Milhouse Van Houten;Lisa Simpson;104;;;
Kent Brockman;Lisa Simpson;27;;;
Carl Carlson;Lisa Simpson;63;;;
Superintendent Gary Chalmers;Lisa Simpson;22;;;
Comic Book Guy;Lisa Simpson;25;;;
The Rich Texan;Lisa Simpson;11;;;
Fat Tony;Lisa Simpson;11;;;
Mayor;Lisa Simpson;46;;;
Professor John Frink;Lisa Simpson;36;;;
Itchy and Scratchy;Lisa Simpson;23;;;
Grampa Abraham Simpson;Lisa Simpson;17;;;
Nelson Muntz;Lisa Simpson;66;;;
Dr. Julius Hibbert;Lisa Simpson;46;;;
Kang and Kodos;Lisa Simpson;13;;;
Edna Krabappel;Lisa Simpson;27;;;
Martin Prince;Lisa Simpson;10;;;
Krusty the Clown;Lisa Simpson;77;;;
Lenny Leonard;Lisa Simpson;69;;;
Sideshow Mel;Lisa Simpson;13;;;
Groundskeeper Willie;Lisa Simpson;50;;;
Lindsey Naegle;Lisa Simpson;10;;;
Snake Jailbird;Lisa Simpson;23;;;
Ralph Wiggum;Lisa Simpson;31;;;
Jimbo Jones;Maggie Simpson;12;;;
Apu Nahasapeemapetilon;Maggie Simpson;10;;;
Chief Clancy Wiggum;Maggie Simpson;24;;;
Patty Bouvier;Maggie Simpson;14;;;
Selma Bouvier;Maggie Simpson;20;;;
Montgomery Burns;Maggie Simpson;29;;;
Ned Flanders;Maggie Simpson;18;;;
Barney Gumble;Maggie Simpson;16;;;
Santa`s Helper;Maggie Simpson;13;;;
Principal Seymour Skinner;Maggie Simpson;18;;;
Waylon Smithers;Maggie Simpson;13;;;
Moe Szyslak;Maggie Simpson;27;;;
Milhouse Van Houten;Maggie Simpson;26;;;
Carl Carlson;Maggie Simpson;18;;;
Mayor;Maggie Simpson;10;;;
Professor John Frink;Maggie Simpson;12;;;
Nelson Muntz;Maggie Simpson;14;;;
Dr. Julius Hibbert;Maggie Simpson;17;;;
Krusty the Clown;Maggie Simpson;18;;;
Lenny Leonard;Maggie Simpson;21;;;
Groundskeeper Willie;Maggie Simpson;13;;;
Jimbo Jones;Dolph Starbeam;29;;;
Kearney Zzyzwicz;Dolph Starbeam;28;;;
Principal Seymour Skinner;Dolph Starbeam;12;;;
Moe Szyslak;Dolph Starbeam;12;;;
Milhouse Van Houten;Dolph Starbeam;11;;;
Nelson Muntz;Dolph Starbeam;14;;;
Kearney Zzyzwicz;Jimbo Jones;30;;;
Chief Clancy Wiggum;Jimbo Jones;13;;;
Principal Seymour Skinner;Jimbo Jones;15;;;
Moe Szyslak;Jimbo Jones;14;;;
Milhouse Van Houten;Jimbo Jones;15;;;
Nelson Muntz;Jimbo Jones;16;;;
Principal Seymour Skinner;Kearney Zzyzwicz;12;;;
Moe Szyslak;Kearney Zzyzwicz;11;;;
Milhouse Van Houten;Kearney Zzyzwicz;11;;;
Nelson Muntz;Kearney Zzyzwicz;12;;;
Ned Flanders;Reverennd Lovejoy;13;;;
Chief Clancy Wiggum;Apu Nahasapeemapetilon;16;;;
Montgomery Burns;Apu Nahasapeemapetilon;12;;;
Barney Gumble;Apu Nahasapeemapetilon;12;;;
Principal Seymour Skinner;Apu Nahasapeemapetilon;12;;;
Moe Szyslak;Apu Nahasapeemapetilon;18;;;
Milhouse Van Houten;Apu Nahasapeemapetilon;14;;;
Krusty the Clown;Apu Nahasapeemapetilon;13;;;
Krusty the Clown;Sideshow Bob;11;;;
Milhouse Van Houten;Otto Mann;11;;;
Nelson Muntz;Otto Mann;11;;;
Selma Bouvier;Chief Clancy Wiggum;14;;;
Montgomery Burns;Chief Clancy Wiggum;23;;;
Ned Flanders;Chief Clancy Wiggum;19;;;
Barney Gumble;Chief Clancy Wiggum;16;;;
Principal Seymour Skinner;Chief Clancy Wiggum;25;;;
Waylon Smithers;Chief Clancy Wiggum;12;;;
Moe Szyslak;Chief Clancy Wiggum;28;;;
Milhouse Van Houten;Chief Clancy Wiggum;22;;;
Carl Carlson;Chief Clancy Wiggum;19;;;
Mayor;Chief Clancy Wiggum;13;;;
Professor John Frink;Chief Clancy Wiggum;10;;;
Nelson Muntz;Chief Clancy Wiggum;12;;;
Dr. Julius Hibbert;Chief Clancy Wiggum;13;;;
Krusty the Clown;Chief Clancy Wiggum;21;;;
Lenny Leonard;Chief Clancy Wiggum;20;;;
Groundskeeper Willie;Chief Clancy Wiggum;10;;;
Snake Jailbird;Chief Clancy Wiggum;10;;;
Ralph Wiggum;Chief Clancy Wiggum;10;;;
Selma Bouvier;Patty Bouvier;49;;;
Ned Flanders;Patty Bouvier;12;;;
Principal Seymour Skinner;Patty Bouvier;11;;;
Moe Szyslak;Patty Bouvier;15;;;
Milhouse Van Houten;Patty Bouvier;18;;;
Carl Carlson;Patty Bouvier;12;;;
Krusty the Clown;Patty Bouvier;11;;;
Lenny Leonard;Patty Bouvier;18;;;
Montgomery Burns;Selma Bouvier;13;;;
Ned Flanders;Selma Bouvier;15;;;
Barney Gumble;Selma Bouvier;13;;;
Principal Seymour Skinner;Selma Bouvier;18;;;
Moe Szyslak;Selma Bouvier;23;;;
Milhouse Van Houten;Selma Bouvier;26;;;
Carl Carlson;Selma Bouvier;18;;;
Mayor;Selma Bouvier;11;;;
Professor John Frink;Selma Bouvier;11;;;
Nelson Muntz;Selma Bouvier;16;;;
Dr. Julius Hibbert;Selma Bouvier;10;;;
Krusty the Clown;Selma Bouvier;16;;;
Lenny Leonard;Selma Bouvier;25;;;
Groundskeeper Willie;Selma Bouvier;14;;;
Ned Flanders;Montgomery Burns;27;;;
Barney Gumble;Montgomery Burns;22;;;
Santa`s Helper;Montgomery Burns;12;;;
Principal Seymour Skinner;Montgomery Burns;14;;;
Waylon Smithers;Montgomery Burns;53;;;
Moe Szyslak;Montgomery Burns;32;;;
Milhouse Van Houten;Montgomery Burns;28;;;
Kent Brockman;Montgomery Burns;13;;;
Carl Carlson;Montgomery Burns;38;;;
Mayor;Montgomery Burns;15;;;
Professor John Frink;Montgomery Burns;13;;;
Grampa Abraham Simpson;Montgomery Burns;10;;;
Nelson Muntz;Montgomery Burns;21;;;
Dr. Julius Hibbert;Montgomery Burns;18;;;
Edna Krabappel;Montgomery Burns;11;;;
Krusty the Clown;Montgomery Burns;25;;;
Lenny Leonard;Montgomery Burns;40;;;
Groundskeeper Willie;Montgomery Burns;13;;;
Snake Jailbird;Montgomery Burns;10;;;
Ralph Wiggum;Montgomery Burns;10;;;
Principal Seymour Skinner;Ned Flanders;16;;;
Moe Szyslak;Ned Flanders;19;;;
Milhouse Van Houten;Ned Flanders;24;;;
Carl Carlson;Ned Flanders;12;;;
Nelson Muntz;Ned Flanders;16;;;
Krusty the Clown;Ned Flanders;22;;;
Lenny Leonard;Ned Flanders;12;;;
Groundskeeper Willie;Ned Flanders;12;;;
Snake Jailbird;Ned Flanders;10;;;
Principal Seymour Skinner;Barney Gumble;13;;;
Moe Szyslak;Barney Gumble;28;;;
Milhouse Van Houten;Barney Gumble;12;;;
Carl Carlson;Barney Gumble;19;;;
Lenny Leonard;Barney Gumble;16;;;
Groundskeeper Willie;Barney Gumble;10;;;
Principal Seymour Skinner;Santa`s Helper;10;;;
Moe Szyslak;Santa`s Helper;13;;;
Milhouse Van Houten;Santa`s Helper;13;;;
Carl Carlson;Santa`s Helper;11;;;
Waylon Smithers;Principal Seymour Skinner;14;;;
Moe Szyslak;Principal Seymour Skinner;22;;;
Milhouse Van Houten;Principal Seymour Skinner;38;;;
